"","donorURI","time","amount","comment","run"
"13593","/tracker/donor/323225/18",2016-07-08 12:30:05,10,"Yes","Super Mario Bros. 3 100%"
"13594","/tracker/donor/265672/18",2016-07-08 12:29:27,25,"No","Super Mario Bros. 3 100%"
"13595","/tracker/donor/18759/18",2016-07-08 12:29:11,10,"Yes","Super Mario Bros. 3 100%"
"13596","/tracker/donor/47058/18",2016-07-08 12:28:23,25,"Yes","Super Mario Bros. 3 100%"
"13597","/tracker/donor/288138/18",2016-07-08 12:28:07,10,"Yes","Super Mario Bros. 3 100%"
"13598","/tracker/donor/47933/18",2016-07-08 12:27:54,35,"No","Super Mario Bros. 3 100%"
"13599","/tracker/donor/317199/18",2016-07-08 12:26:18,100,"Yes","Super Mario Bros. 3 100%"
"13600","/tracker/donor/298876/18",2016-07-08 12:26:07,74.36,"Yes","Super Mario Bros. 3 100%"
"13601","/tracker/donor/265657/18",2016-07-08 13:05:11,50,"Yes","Super Mario Bros. 3 100%"
"13602",NA,2016-07-08 13:04:57,25,"No","Super Mario Bros. 3 100%"
"13603","/tracker/donor/260305/18",2016-07-08 13:04:38,50,"Yes","Super Mario Bros. 3 100%"
"13604","/tracker/donor/323255/18",2016-07-08 13:04:09,50,"Yes","Super Mario Bros. 3 100%"
"13605","/tracker/donor/307043/18",2016-07-08 13:03:59,15,"Yes","Super Mario Bros. 3 100%"
"13606","/tracker/donor/320869/18",2016-07-08 13:03:51,5,"No","Super Mario Bros. 3 100%"
"13607","/tracker/donor/306979/18",2016-07-08 13:03:49,5,"Yes","Super Mario Bros. 3 100%"
"13608","/tracker/donor/323252/18",2016-07-08 13:03:44,10,"Yes","Super Mario Bros. 3 100%"
"13609","/tracker/donor/323253/18",2016-07-08 13:03:43,5,"Yes","Super Mario Bros. 3 100%"
"13610","/tracker/donor/256118/18",2016-07-08 13:03:25,150,"Yes","Super Mario Bros. 3 100%"
"13611","/tracker/donor/323256/18",2016-07-08 13:02:59,10,"Yes","Super Mario Bros. 3 100%"
"13612","/tracker/donor/33718/18",2016-07-08 13:02:43,25,"Yes","Super Mario Bros. 3 100%"
"13613","/tracker/donor/256195/18",2016-07-08 13:02:42,20,"Yes","Super Mario Bros. 3 100%"
"13614","/tracker/donor/3019/18",2016-07-08 13:02:28,25,"Yes","Super Mario Bros. 3 100%"
"13615","/tracker/donor/320031/18",2016-07-08 13:02:11,15,"Yes","Super Mario Bros. 3 100%"
"13616","/tracker/donor/18087/18",2016-07-08 13:02:06,300,"Yes","Super Mario Bros. 3 100%"
"13617",NA,2016-07-08 13:02:04,50,"No","Super Mario Bros. 3 100%"
"13618","/tracker/donor/323254/18",2016-07-08 13:01:36,50,"Yes","Super Mario Bros. 3 100%"
