"","time","amount","comment","donorURI","run"
"242",2017-01-14 23:55:27,50,"Yes",NA,"Undertale True Pacifist Ending"
"243",2017-01-14 23:55:26,15,"Yes","/tracker/donor/202/19","Undertale True Pacifist Ending"
"244",2017-01-14 23:55:22,125,"Yes","/tracker/donor/347930/19","Undertale True Pacifist Ending"
"245",2017-01-14 23:55:17,5,"Yes",NA,"Undertale True Pacifist Ending"
"246",2017-01-14 23:55:17,15,"Yes","/tracker/donor/324149/19","Undertale True Pacifist Ending"
"247",2017-01-14 23:55:14,30,"No","/tracker/donor/294825/19","Undertale True Pacifist Ending"
"248",2017-01-14 23:55:07,20,"Yes","/tracker/donor/331623/19","Undertale True Pacifist Ending"
"249",2017-01-14 23:55:04,5,"Yes",NA,"Undertale True Pacifist Ending"
"250",2017-01-14 23:55:00,NA,"Yes","/tracker/donor/864/19","Undertale True Pacifist Ending"
"251",2017-01-14 23:54:59,50,"No","/tracker/donor/347926/19","Undertale True Pacifist Ending"
"252",2017-01-14 23:54:47,50,"Yes","/tracker/donor/265561/19","Undertale True Pacifist Ending"
"253",2017-01-14 23:54:41,10.02,"Yes","/tracker/donor/347927/19","Undertale True Pacifist Ending"
"254",2017-01-14 23:54:41,10,"Yes",NA,"Undertale True Pacifist Ending"
"255",2017-01-14 23:54:36,75,"Yes","/tracker/donor/347924/19","Undertale True Pacifist Ending"
"256",2017-01-14 23:54:35,20,"Yes","/tracker/donor/347922/19","Undertale True Pacifist Ending"
"257",2017-01-14 23:54:29,5,"Yes","/tracker/donor/325864/19","Undertale True Pacifist Ending"
"258",2017-01-14 23:54:28,20,"No",NA,"Undertale True Pacifist Ending"
"259",2017-01-14 23:54:19,10,"Yes",NA,"Undertale True Pacifist Ending"
"260",2017-01-14 23:54:17,15,"Yes","/tracker/donor/347920/19","Undertale True Pacifist Ending"
"261",2017-01-14 23:54:15,50,"Yes","/tracker/donor/288059/19","Undertale True Pacifist Ending"
"262",2017-01-14 23:54:07,10,"No","/tracker/donor/30448/19","Undertale True Pacifist Ending"
"263",2017-01-14 23:54:06,20,"Yes","/tracker/donor/266892/19","Undertale True Pacifist Ending"
"264",2017-01-14 23:54:03,30,"No","/tracker/donor/296306/19","Undertale True Pacifist Ending"
"265",2017-01-14 23:54:01,75,"Yes",NA,"Undertale True Pacifist Ending"
"266",2017-01-14 23:53:59,50,"Yes","/tracker/donor/331814/19","Undertale True Pacifist Ending"
"267",2017-01-14 23:53:55,5,"Yes","/tracker/donor/334276/19","Undertale True Pacifist Ending"
"268",2017-01-14 23:53:53,162.3,"Yes","/tracker/donor/302321/19","Undertale True Pacifist Ending"
"269",2017-01-14 23:53:52,15,"Yes","/tracker/donor/316/19","Undertale True Pacifist Ending"
"270",2017-01-14 23:53:47,15,"Yes","/tracker/donor/36518/19","Undertale True Pacifist Ending"
"271",2017-01-14 23:53:42,10,"No","/tracker/donor/347918/19","Undertale True Pacifist Ending"
"272",2017-01-14 23:53:36,125,"No",NA,"Undertale True Pacifist Ending"
"273",2017-01-14 23:53:29,20,"Yes",NA,"Undertale True Pacifist Ending"
"274",2017-01-14 23:53:26,25,"No",NA,"Undertale True Pacifist Ending"
"275",2017-01-14 23:53:26,75,"Yes","/tracker/donor/34257/19","Undertale True Pacifist Ending"
"276",2017-01-14 23:53:23,10,"Yes","/tracker/donor/347913/19","Undertale True Pacifist Ending"
"277",2017-01-14 23:53:22,18,"Yes","/tracker/donor/347921/19","Undertale True Pacifist Ending"
"278",2017-01-14 23:53:03,5,"Yes","/tracker/donor/347914/19","Undertale True Pacifist Ending"
"279",2017-01-14 23:52:54,50,"No","/tracker/donor/347916/19","Undertale True Pacifist Ending"
"280",2017-01-14 23:52:52,5,"No",NA,"Undertale True Pacifist Ending"
"281",2017-01-14 23:52:51,15,"Yes","/tracker/donor/347909/19","Undertale True Pacifist Ending"
"282",2017-01-14 23:52:51,50,"Yes",NA,"Undertale True Pacifist Ending"
"283",2017-01-14 23:52:44,50,"No",NA,"Undertale True Pacifist Ending"
"284",2017-01-14 23:52:37,500,"Yes",NA,"Undertale True Pacifist Ending"
"285",2017-01-14 23:52:33,10,"Yes","/tracker/donor/2055/19","Undertale True Pacifist Ending"
"286",2017-01-14 23:52:28,15,"Yes","/tracker/donor/325540/19","Undertale True Pacifist Ending"
"287",2017-01-14 23:52:28,125,"No","/tracker/donor/33665/19","Undertale True Pacifist Ending"
"288",2017-01-14 23:52:25,20,"No","/tracker/donor/347919/19","Undertale True Pacifist Ending"
"289",2017-01-14 23:52:25,10,"Yes","/tracker/donor/43664/19","Undertale True Pacifist Ending"
"290",2017-01-14 23:52:22,10,"Yes",NA,"Undertale True Pacifist Ending"
"291",2017-01-14 23:52:22,100,"Yes","/tracker/donor/306834/19","Undertale True Pacifist Ending"
"292",2017-01-14 23:52:21,100,"Yes",NA,"Undertale True Pacifist Ending"
"293",2017-01-14 23:52:16,25,"Yes","/tracker/donor/347915/19","Undertale True Pacifist Ending"
"294",2017-01-14 23:52:07,125,"No",NA,"Undertale True Pacifist Ending"
"295",2017-01-14 23:52:06,50,"No","/tracker/donor/306938/19","Undertale True Pacifist Ending"
"296",2017-01-14 23:52:04,15,"Yes","/tracker/donor/347904/19","Undertale True Pacifist Ending"
"297",2017-01-14 23:52:03,5,"Yes","/tracker/donor/315843/19","Undertale True Pacifist Ending"
"298",2017-01-14 23:52:02,10,"Yes","/tracker/donor/347917/19","Undertale True Pacifist Ending"
"299",2017-01-14 23:52:00,10,"Yes",NA,"Undertale True Pacifist Ending"
"300",2017-01-14 23:51:58,50,"Yes","/tracker/donor/4458/19","Undertale True Pacifist Ending"
"301",2017-02-02 19:30:16,6,"Yes",NA,"NA"
"302",2017-01-23 13:48:16,10,"No",NA,"NA"
"303",2017-01-20 16:10:37,10,"No",NA,"NA"
"304",2017-01-18 11:19:38,NA,"Yes","/tracker/donor/332363/19","NA"
"305",2017-01-17 22:21:02,5,"No",NA,"NA"
"306",2017-01-17 21:31:42,500,"No","/tracker/donor/296102/19","NA"
"307",2017-01-17 21:26:48,25,"Yes","/tracker/donor/348106/19","NA"
"308",2017-01-17 21:05:59,5,"No",NA,"NA"
"309",2017-01-17 15:36:49,201,"No",NA,"NA"
"310",2017-01-17 12:10:45,20,"No","/tracker/donor/348104/19","NA"
"311",2017-01-17 08:36:58,15,"No",NA,"NA"
"312",2017-01-17 05:50:23,50,"Yes",NA,"NA"
"313",2017-01-17 02:04:44,5,"Yes","/tracker/donor/348102/19","NA"
"314",2017-01-16 18:56:11,100,"No",NA,"NA"
"315",2017-01-16 15:25:30,10,"No",NA,"NA"
"316",2017-01-16 13:37:05,10,"No","/tracker/donor/26309/19","NA"
"317",2017-01-16 12:14:54,75,"Yes","/tracker/donor/348099/19","NA"
"318",2017-01-16 11:53:13,10,"No",NA,"NA"
"319",2017-01-16 10:50:47,10,"No",NA,"NA"
"320",2017-01-16 08:16:20,5,"Yes",NA,"NA"
